headword_as_printed	expanded_form	inflection	pos	glosses	source_page	image_verified	scan_url
Օրինակակատար			a.	fulfilling the laws (J. C.)	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինակակարգ			a.	established, sanctioned by the law	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինակակուի			s.	copying; likeness, resemblance.	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինապահութիւն			s.	keeping, obeying or fulfilling the law	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինապատգամք			s.	the laws or oracles of God	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինապատում			s.	interpreter of the laws, legist	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինաւորական			a.	legitimate; s. legitimist	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինաւորականութի	Օրինաւորականութիւն		s.	legitimacy	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինաւորեմ		եցի	va.	to legalize, to legitimate	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրինաւորութի	Օրինաւորութիւն		s.	legality, legitimity; legalization, authentication.	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրիորդութի	Օրիորդութիւն		s.	maidenhood, virginity.	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնաբանեմ		եցի	va.	to sing hymns, to bless, to exalt, to give praises	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնաբանութի	Օրհնաբանութիւն		s.	benediction, praise, canticle, hymn.	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնառաք			a.	blessing, praising, lauding.	dict-796.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնեալ			a.	blessed; holy; consecrated	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնեմ		եցի	va.	to bless; to shower down or bestow blessings on; to bless, to consecrate, to offer; to bless, to glorify, to sing hymns, to praise; to bless, to prosper, to speed; to salute, to greet; to curse, to blaspheme; to bless, to shower down or bestow blessings on	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհներգու			or	գող	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհներգութիւն			s.	hymn, canticle, praise; hymn, canticle, praise.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնիչ			s.	blesser, praiser, glorifier; blesser, praiser, glorifier.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնութիւն			s.	benediction, blessing, doxology; praise, laud, hymn, canticle; blessings, great abundance, plenty, prosperity, wealth; gift, present; consecration; the Eucharist; eulogy; relics; instruments	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրհնութիւնաբեր			a.	bringing blessing or benediction	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրոց			S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրուկ			S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օրօրք			s.	by-by, lullaby; by-by, lullaby.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օցտեմ			&c. S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Օփրանտ			s. Fr. w.	offering; offering.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆ		(fē)	ֆէ s.	the thirty eighth letter of the alphabet, & the thirtieth of the consonants.; It was taken at the time of the Crusaders from the Greek, in order to facilitate the writing of foreign words. The ancients used in its stead the letter փ; as, φυσικός-փիւսկեան.; It is consequently pertinent only to modern Armenian, & if found in some early writers, the words are of foreign derivation.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆարտ			S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆիզիգայ			&c. S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆիորին		աց	s.	florin; florin.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆրանցէս			a.	French	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆրանք		աց	s.	frank; frank.	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆրեր			or	brother; Ֆռեր s. Fr. w. brother	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆռեր			s.	brother	dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆարսանգ			S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Ֆռանգ			S.		dict-797.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf396.jpg
Աբաս				Abas.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբգար				Abgarus, Abgar.; Abgar.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբդիաս				Abdias, Obadiah.; Obadiah.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբդլմսեհ				Abdulmeseh.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբեդնագով				Abed-nego.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբեններ				Abner.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբեսողոմ				Absalom.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբէլ				Abel.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիաթար				Abiathar.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիբաս				Abibas.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիգեա			f.	Abigail.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիկ			f.	Avice.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիմելեք				Abimelech.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիոս				Abia, -h.; -h.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիսակ				Abisag.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիրօն				Abiron.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբիւդենոս				Abydene.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբուբեքիր				Abubekr.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աբրահամ				Abraham.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագաբոս				Agabus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագագ				Agag.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագաթա			f.	Agatha.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագաթանգեղոս				Agathangelus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագաթոկղէս				Agathocles.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագամեմնոն				Agamemnon.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագապի			f.	Agapy.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագար			f.	Hagar.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագենովր				Agenor.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագեսիղայոս				Agesilaus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագիս, Ագիտոս				Agis.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագնէս			f.	Agnes.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագոնց Գիւվէր (Գեր. Ստ.)				Akontz [Köver.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագրիկողա				Agricola.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագրիպպաս				Agrippa.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ագրիպպինա			f.	Agrippina.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադամ				Adam.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադդէ				Addey.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադոկտոս				Adoctus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադոնիա				Adonia.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադոնիբեզեկ				Adonibesech.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադրամելեք				Adrammelech.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ադրիանոս				Adrian, Hadrian, -us.; Hadrian; -us.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ազայէլ				Azael.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ազարիա				Azariah.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ազնիւ				Bon.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթանագինէ				Athanagenes.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթանաս				Athanasius.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթանասիա			f.	Athanasia.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթենագորաս				Athenagoras.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթենաս				Athena, Minerva, Pallas.; Minerva; Pallas.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աթենոդոր				Athenodorus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աժդահակ				Astyages.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալբերտ				Albert.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալբինա			f.	Albina.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալբինոս				Albinus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալեքսիանոս				Alexis.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալեքսիոս Կոմնենոս				Alexius Comnenus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալթէա			f.	Althæa.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալիկ			f.	Alice, Alicia.; Alicia.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալողիոս				Alwise, Lewis.; Lewis.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալպերիկ				Alperice.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալփէոս				Alpheus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալփոնսոս				Alphonso.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալփրեդոս				Alfred.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ալֆիերի				Alfieri.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ակակիոս				Acacius.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ակիւղաս				Aquila.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ակիփսիմոս				Achipsimus.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ակլայէ			f.	Aglaia.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ահարոն				Aaron.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղաթոն				Agathon.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղաւնի			f.	Colomba.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղեքսանդր				Alexander, Sanders.; Sanders.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղեքսանդրա			f.	Alexandra.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղկիբիադ				Alcibiades.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Աղկիոն				Halcyone.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ամաղէկ				Amalek.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ամասիա				Amasia (patriarch).	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ամբակում				Habakuk.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ամբրոսիոս				Ambrose, Ham.; Ham.	dict-799.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf397.jpg
Ամեդէոս				Amedeus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամելիա			f.	Amelia.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամերիկոս				Americus (Vespucius).	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամի			f.	Amy.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամիլկար				Hamilcar.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամինտաս				Amyntas.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամոն				Ammon.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամովս				Amos.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ամփիտրիոն				Amphitryon.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Այաքս				Ajax.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Այետիոս				Etius.; Ætius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Այիթալաս				Aïthalas.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Այծեմնիկ			f.	Dorcas.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անակ				Anag.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անակլետոս				Anacletus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անակրէոն				Anacreon.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անահիտ			f.	Anaitis; Diana; Dy.; Anaitis, Diana, Dy.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անան				Anan.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անանիա		-ս		Anania.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաստաս				Anastasius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաստասիա			f.	Anastasia.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անատոլ		-իոս		Anatolius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անատոլա			f.	Anatola.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաքարսիս				Anacharsis.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաքսագորաս				Anaxagoras.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաքսարքոս				Anaxarchus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաքսիմանդրոս				Anaximander.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անաքսիմենէս				Anaximenes.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անգեղոս				Angelus; Angelo.; Angelus, Angelo.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անգէ		-ոս		Haggai; Aggee.; Haggai, Aggee.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անդրանիկ				Protogenes.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անդրէաս				Andrew.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անդրոմաք			f.	Andromache.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անդրոնիկոս				Andronicus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անթառամ			f.	Amaranth.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անթիմոս				Anthimus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անթուսա			f.	Anthusa.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անիկտոս				Aniotus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անճէլա			f.	Angela.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անճէլինա			f.	Angelina.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անմեղուկ					dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աննա			f.	Anna; Ann; Anne; Hanna.; Anna, Ann, Anne, Hanna.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աննիբաղ				Hannibal; Annibal.; Hannibal, Annibal.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աննիկ			f.	Nan; Nancy; Nanny.; Nan, Nancy, Nanny.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աննիս			f.	Annis.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անոյշ			f.	Anoosh.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անուշաւան				Anooshawan.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անսելմոս				Anselm; -o.; Anselm, -o.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտենոր				Antenor.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտիգոնոս				Antigonus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտիոպէ			f.	Antiope.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտիոքոս				Antiochus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտիպատրոս				Antipater.; [ny.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտոն		-իոս		Antonius; Anthony; Tony.; Antonius, Anthony, Tho-	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտոնիա		Անտոնինա	f.	Antonia.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտոնինա			f.	Antonia.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Անտոնինոս				Antoninus; Antonine.; Antoninus, Antonine.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աշխէն			f.	Ashkhen.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աշոտ				Ashod; Asotus.; Ashod, Asotus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աշուշայ				Ashoosha.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ապեղէս				Apelles.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ապիրատ				Apirate.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ապողինար				Apollinarius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ապողոդորոս				Apollodorus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ապողոն				Apollo; Apollus.; Apollo, Apollus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Առան				Aran.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Առաքել				Arachel.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասանէթ			f.	Asenath.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասթինէ			f.	Vashthi; Asthiny.; Vashthi, Asthiny.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասկանիոս				Ascanius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասողիկ				Asolice.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աստարտէ			f.	Astarte.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աստիադէս				Astiades.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աստղիկ			f.	Stella; Aphrodite; Venus.; Stella, Aphrodite, Venus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Աստուածատուր				Theodatus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասքանազ		or նաս		Ashchenaz; Ascenez.; Ashchenaz, Ascenes.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ասքանազ				Ashchenaz, Ascenes.; Ascenez.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատել			f.	Adela.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատելայիտ			f.	Adelaide.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատելինա			f.	Adeline.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատոլփոս				Adolphus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատովմ				Atom.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատտիկոս				Atticus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատտիղաս				Attila.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Ատրներսեհ				Aternarses.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արամ				Aram; Aramus.; Aram, Aramus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արամազդ				Jupiter; Zeus.; Jupiter, Zeus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արայ				Ara; Ara;	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արբակ				Arbaces.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արգեսիղայոս				Argesilajus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արգոս				Argus.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արեգ		Արիգա	f.	Herica.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիգա			f.	Herica.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արետ				Aretas.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արէս				Ares; Mars.; Ares, Mars.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արթուր				Arthur.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիադնէ			f.	Ariadne.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիոբարզան				Ariobarzanes.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիոս				Arius.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
Արիստակէս				Aristaces.	dict-800.png	1	https://archive.org/download/ANewDictionaryArmenian-english/page/leaf398.jpg
